('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         868114 function calls (847119 primitive calls) in 8.743 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8555    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     6594    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     4186    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
       17    0.001    0.000    0.002    0.000 enum.py:179(__new__)
      690    0.001    0.000    0.006    0.000 filter.py:618(_attribute_match)
     4186    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     3953    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
     8502    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     3242    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     4185    0.001    0.000    0.001    0.000 _markupbase.py:40(getpos)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
     1400    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       11    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      996    0.001    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
      117    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      163    0.001    0.000    0.006    0.000 sre_compile.py:536(_compile_info)
     3957    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      584    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
     5609    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1400    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      163    0.001    0.000    0.079    0.000 sre_compile.py:759(compile)
     1458    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
    56/16    0.000    0.000    0.010    0.001 css_parser.py:925(parse_selectors)
        2    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      283    0.000    0.000    0.001    0.000 enum.py:88(__setitem__)
      121    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     7364    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     2530    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      970    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2585    0.000    0.000    0.002    0.000 css_parser.py:317(match)
