('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         961945 function calls (936534 primitive calls) in 7.931 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4077    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
     2341    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       18    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     8639    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     4399    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
      342    0.001    0.000    1.834    0.005 socket.py:690(readinto)
     4256    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      690    0.001    0.000    0.005    0.000 filter.py:618(_attribute_match)
       17    0.001    0.000    0.002    0.000 enum.py:179(__new__)
     2341    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
  206/167    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     4256    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      923    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      306    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     8644    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
       19    0.001    0.000    0.471    0.025 {method 'join' of 'bytes' objects}
     4024    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
     2103    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      204    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
     4255    0.001    0.000    0.001    0.000 _markupbase.py:40(getpos)
      153    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      202    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
     1074    0.001    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
      273    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
    208/3    0.001    0.000    0.206    0.069 <frozen importlib._bootstrap>:1002(_find_and_load)
     7629    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      204    0.001    0.000    0.096    0.000 sre_compile.py:759(compile)
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     3759    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     4244    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        2    0.001    0.000    0.001    0.000 {built-in method _scproxy._get_proxies}
     9397    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      342    0.001    0.000    1.833    0.005 ssl.py:1230(recv_into)
      188    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      835    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
        1    0.001    0.001    0.001    0.001 connectionpool.py:1132(_close_pool_connections)
    56/16    0.001    0.000    0.010    0.001 css_parser.py:925(parse_selectors)
    188/3    0.001    0.000    0.205    0.068 <frozen importlib._bootstrap>:659(_load_unlocked)
     1396    0.000    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      204    0.000    0.000    0.061    0.000 sre_parse.py:937(parse)
     4732    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      253    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      283    0.000    0.000    0.001    0.000 enum.py:88(__setitem__)
      962    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
     2488    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
    207/3    0.000    0.000    0.206    0.069 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     2585    0.000    0.000    0.002    0.000 css_parser.py:317(match)
      342    0.000    0.000    1.832    0.005 ssl.py:1090(read)
       12    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
     1037    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
     4147    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      737    0.000    0.000    0.001    0.000 typing.py:703(__setattr__)
 2083/952    0.000    0.000    0.026    0.000 {built-in method builtins.hasattr}
      435    0.000    0.000    0.001    0.000 os.py:674(__getitem__)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
      273    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      962    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
      628    0.000    0.000    0.003    0.000 enum.py:358(__call__)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      212    0.000    0.000    0.001    0.000 typing.py:137(_type_check)
       43    0.000    0.000    0.470    0.011 response.py:789(read_chunked)
     4319    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      153    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
       70    0.000    0.000    1.373    0.020 {method 'readline' of '_io.BufferedReader' objects}
      153    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
      204    0.000    0.000    0.001    0.000 enum.py:977(__and__)
      204    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      309    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      114    0.000    0.000    0.002    0.000 typing.py:729(__init__)
       74    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
      415    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
  229/190    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      777    0.000    0.000    0.000    0.000 element.py:2355(get)
    155/1    0.000    0.000    7.931    7.931 {built-in method builtins.exec}
      344    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
    71/19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      446    0.000    0.000    0.002    0.000 _collections_abc.py:850(__iter__)
      204    0.000    0.000    0.034    0.000 sre_compile.py:598(_code)
    153/3    0.000    0.000    0.205    0.068 <frozen importlib._bootstrap_external>:844(exec_module)
      997    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        5    0.000    0.000    0.002    0.000 request.py:2486(getproxies_environment)
      879    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     3803    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1072    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     4255    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
      618    0.000    0.000    0.001    0.000 enum.py:670(__new__)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
     1427    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     3332    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      162    0.000    0.000    0.002    0.000 _markupbase.py:168(parse_comment)
  188/184    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      459    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      153    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       98    0.000    0.000    0.001    0.000 typing_extensions.py:3178(_collect_type_vars)
      828    0.000    0.000    0.000    0.000 os.py:758(decode)
